Item Name,Category,Version,Item Code,Item ID,Buyer ID,Transaction ID,Date,Final Quantity,Total Revenue,Price Reductions,Refunds,Final Revenue,Sales Tax,Overall Revenue,Refunded Item Count,Purchased Item Count,Returned
QID,Product H,32 / B / 30,27-0CD-F44-7E1-0-2F608D7,46567054.0,3301861.0,53635600000000.0,14/04/2019,1,74.17,0.0,0.0,74.17,14.83,89.0,0,1,0
OTH,Product P,32 / B / FtO,37-9D1-AC6-D48-E-F2D4507,16345004.0,1205940.0,47591800000000.0,14/02/2019,-1,0.0,0.0,-79.17,-79.17,-15.83,-95.0,-1,0,1
WHX,Product P,32 / B / FtO,85-2EB-163-D62-5-FC50316,26246865.0,3342830.0,92117200000000.0,28/11/2018,-1,0.0,0.0,-74.17,-74.17,-14.83,-89.0,-1,0,1
RJF,Product P,33 / B / FtO,3D-687-99C-14F-4-661E2E7,42015157.0,7251983.0,59877300000000.0,3/3/2019,1,79.17,0.0,0.0,79.17,15.83,95.0,0,1,0
TSH,Product D,34 / B / FtO,F9-9FA-787-104-B-DCEE379,40522014.0,9940388.0,36582400000000.0,26/11/2018,1,74.17,0.0,0.0,74.17,14.83,89.0,0,1,0
BKT,Product Q,37 / B / 28,92-F5E-879-C1C-4-447E57D,32047144.0,9139641.0,29561200000000.0,2/1/2019,1,36.67,0.0,0.0,36.67,7.33,44.0,0,1,0
TSH,Product P,34 / B / FtO,30-612-F8B-3F0-D-1399050,40522014.0,3621461.0,11928100000000.0,26/12/2018,1,55.0,0.0,0.0,55.0,11.0,66.0,0,1,0
LQS,Product C,36 / B / FtO,D7-036-7E7-B2D-F-9ABDCB2,26922227.0,4238393.0,72170800000000.0,14/12/2018,1,82.5,0.0,0.0,82.5,16.5,99.0,0,1,0
WHX,Product A,34 / A / FtO,BB-624-2EC-849-6-55C3AE9,70509397.0,5467593.0,66417000000000.0,20/03/2019,-1,0.0,0.0,-107.5,-107.5,-21.5,-129.0,-1,0,1
WHX,Product P,33 / A / FtO,30-A45-0F8-A47-3-597F220,30466884.0,6927154.0,12260000000000.0,15/02/2019,1,79.17,0.0,0.0,79.17,15.83,95.0,0,1,0
LQS,Product B,33 / B / FtO,2D-BCB-5A1-DCF-B-1BC3355,24064862.0,3278460.0,39995600000000.0,25/11/2018,1,82.5,-16.5,0.0,66.0,13.2,79.2,0,1,0
KNB,Product P,35 / A / FtO,5B-AA9-538-913-2-C7F19F8,82629421.0,9164098.0,34832600000000.0,18/02/2019,1,79.18,-15.84,0.0,63.34,12.66,76.0,0,1,0
WHX,Product P,36 / C / FtO,ED-3C3-9DE-8F8-8-E2127BD,10812154.0,7787287.0,76484500000000.0,10/2/2019,1,79.17,0.0,0.0,79.17,15.83,95.0,0,1,0
AYN,Product P,35 / A / FtO,05-B3F-641-5D0-C-08DA2E3,13282993.0,6386377.0,50548300000000.0,2/1/2019,1,55.0,0.0,0.0,55.0,11.0,66.0,0,1,0
QID,Product H,40 / C / FtO,89-640-975-F8D-0-B53CFB5,84222100000000.0,5162704.0,50562500000000.0,3/11/2018,0,74.17,0.0,-74.17,0.0,0.0,0.0,-1,1,1
CRH,Product P,34 / B / FtO,DC-C91-D80-DD3-0-BAC56F9,40213065.0,7030843.0,75773800000000.0,4/4/2019,1,79.17,0.0,0.0,79.17,15.83,95.0,0,1,0
LQS,Product B,33 / C / FtO,13-942-409-8DF-6-68FB90B,24064862.0,9461313.0,67165500000000.0,23/11/2018,1,82.5,-16.5,0.0,66.0,13.2,79.2,0,1,0
RJF,Product P,35 / B / FtO,22-6A3-ACF-C57-6-3147EE4,88162726.0,5950642.0,13446000000000.0,2/4/2019,-1,0.0,0.0,-79.16,-79.16,-15.84,-95.0,-1,0,1
RJF,Product P,36 / C / FtO,BC-0DF-CDF-7B9-6-79DB2AC,95083972.0,2328606.0,52635000000000.0,25/02/2019,1,79.17,-20.84,0.0,58.33,11.67,70.0,0,1,0
LQS,Product B,33 / B / FtO,2D-BCB-5A1-DCF-B-1BC3355,24064862.0,4982900.0,77100400000000.0,9/1/2019,1,82.5,0.0,0.0,82.5,16.5,99.0,0,1,0
YQX,Product M,34 / A / FtO,17-F85-233-845-8-D1D20B2,92567842.0,9751428.0,88729600000000.0,18/04/2019,1,82.5,0.0,0.0,82.5,16.5,99.0,0,1,0
WHX,Product D,34 / A / FtO,D4-C6F-884-7F1-5-8ED5D4B,50418124.0,3583418.0,65588000000000.0,28/03/2019,1,74.17,0.0,0.0,74.17,14.83,89.0,0,1,0
WHX,Product D,32 / A / 29,5A-02C-11D-258-0-EDB1CFD,29157946.0,4471680.0,47267700000000.0,6/2/2019,-1,0.0,0.0,-74.17,-74.17,-14.83,-89.0,-1,0,1
HZX,Product B,36 / B / 30,AA-FF7-5F1-C38-8-EE0E60C,56806577.0,3595581.0,83290700000000.0,4/12/2018,1,82.5,0.0,0.0,82.5,16.5,99.0,0,1,0
AYN,Product P,34 / B / FtO,E6-FAF-D36-0E0-2-DC24994,88732635.0,4923482.0,91514800000000.0,28/01/2019,-1,0.0,0.0,-55.0,-55.0,-11.0,-66.0,-1,0,1
EKJ,Product O,34 / A / 9,9A-348-C38-07A-2-7938B3F,73544700.0,3231989.0,36299600000000.0,16/04/2019,1,57.5,-5.75,0.0,51.75,10.35,62.1,0,1,0
CLH,Product B,35 / C / 33,78-1C1-1FA-A15-5-41B3EB6,68182077.0,3243282.0,87659400000000.0,7/12/2018,-1,0.0,0.0,-66.0,-66.0,-13.2,-79.2,-1,0,1
KNB,Product M,36 / A / FtO,5B-108-510-A28-6-49791BD,92567842.0,6218795.0,70284000000000.0,16/04/2019,1,82.5,0.0,0.0,82.5,16.5,99.0,0,1,0
YQX,Product H,35 / B / FtO,13-97C-FB5-79E-F-992A8BF,62538818.0,5056151.0,76796900000000.0,22/03/2019,1,74.16,-20.83,0.0,53.33,10.67,64.0,0,1,0
YQX,Product H,33 / B / FtO,88-B81-680-097-8-382CF03,93145342.0,4813816.0,49304600000000.0,18/04/2019,1,74.16,-20.83,0.0,53.33,10.67,64.0,0,1,0
WHX,Product P,30 / A / 29,81-8FA-5A9-11A-2-8C4A175,22570228.0,4769813.0,60461900000000.0,14/02/2019,-1,0.0,0.0,-79.17,-79.17,-15.83,-95.0,-1,0,1
YQX,Product H,34 / A / 31,EC-DBD-652-248-2-3B0BBDD,17042414.0,3288850.0,23830400000000.0,20/11/2018,1,74.17,0.0,0.0,74.17,14.83,89.0,0,1,0
HZX,Product B,33 / B / FtO,5B-8E1-024-EB2-6-3F3CBDB,24064862.0,7183246.0,20246100000000.0,6/1/2019,1,57.5,0.0,0.0,57.5,11.5,69.0,0,1,0
FTU,Product R,S / Sl / Sh,C8-AEA-5C4-EDE-F-6AFB9F5,88419828.0,1715372.0,68204000000000.0,15/03/2019,1,29.16,-7.29,0.0,21.87,4.38,26.25,0,1,0
WHX,Product P,34 / A / FtO,76-BA0-289-04B-C-9EB5C4F,83605938.0,7878265.0,82090800000000.0,27/03/2019,-1,0.0,0.0,-79.16,-79.16,-15.84,-95.0,-1,0,1
RJK,Product R,L / Sl / Re,B3-454-173-827-F-2D4BC05,88419828.0,7984416.0,88599000000000.0,5/4/2019,1,29.17,0.0,0.0,29.17,5.83,35.0,0,1,0
RJF,Product P,34 / B / FtO,32-AA7-838-2C8-E-1195FE8,98393407.0,5427366.0,86111100000000.0,16/04/2019,1,79.16,-20.83,0.0,58.33,11.67,70.0,0,1,0
NMA,Product D,32 / B / FtO,D8-5B2-0C2-2FF-4-449AD74,32740590.0,8252964.0,86111100000000.0,16/04/2019,1,74.17,0.0,0.0,74.17,14.83,89.0,0,1,0
LQS,Product C,30 / A / 31,2C-19D-5C6-EA0-3-43C448F,74114662.0,5071361.0,79463600000000.0,8/2/2019,1,82.5,-8.5,0.0,74.0,14.8,88.8,0,1,0
XEB,Product D,34 / B / FtO,54-BB6-CDA-0BD-0-6121467,11657798.0,1124957.0,19615800000000.0,18/03/2019,-1,0.0,0.0,-51.67,-51.67,-10.33,-62.0,-1,0,1
KNB,Product P,34 / A / FtO,E3-A4D-96C-7FB-2-E487C07,36598969.0,5586010.0,74678100000000.0,29/01/2019,1,79.17,-20.84,0.0,58.33,11.67,70.0,0,1,0
NWB,Product D,36 / C / FtO,CD-F33-F6A-2E2-2-D115B4E,40522014.0,9635094.0,69224800000000.0,24/12/2018,1,51.67,0.0,0.0,51.67,10.33,62.0,0,1,0
WHX,Product P,33 / B / 32,BF-2A5-D8F-5BC-D-987937F,94152622.0,6538268.0,81149700000000.0,21/01/2019,-1,0.0,0.0,-71.12,-71.12,-14.23,-85.35,-1,0,1
NMA,Product H,34 / B / FtO,A2-893-62A-DAB-4-773775A,63706147.0,4565585.0,83989300000000.0,28/04/2019,1,74.17,0.0,0.0,74.17,14.83,89.0,0,1,0
YQX,Product H,37 / B / FtO,78-051-9A8-28F-5-DEB9BDB,15609600000000.0,7307263.0,80418500000000.0,24/11/2018,1,74.17,0.0,0.0,74.17,14.83,89.0,0,1,0
KNB,Product H,35 / A / FtO,AD-D36-4D7-EDB-2-1BA776D,51943014.0,7994785.0,82648500000000.0,30/04/2019,1,74.16,-10.41,0.0,63.75,12.75,76.5,0,1,0
EXR,Product J,32 / A / FtO,4A-FF1-87C-28D-3-2E5048E,89495938.0,9755244.0,63861400000000.0,28/02/2019,1,99.17,0.0,0.0,99.17,19.83,119.0,0,1,0
WHX,Product P,31 / B / FtO,DD-85C-817-6E1-7-63A3E31,42076473.0,8871663.0,93156300000000.0,26/04/2019,1,79.16,0.0,0.0,79.16,15.84,95.0,0,1,0
